user,item,ranking,partner,time
1,1,2,6,4
1,2,4,2,1
1,18,5,6,3
1,22,4,6,3
1,31,3,1,3
1,7,5,2,2
1,4,5,2,3
1,6,5,3,3
2,27,5,1,4
2,17,4,6,3
2,13,4,2,2
2,1,5,4,1
2,33,4,5,4
2,26,5,6,1
2,13,4,1,4
2,25,5,2,4
3,33,5,6,3
3,24,5,2,1
3,29,3,6,3
3,27,2,2,2
3,6,3,1,4
3,29,4,5,4
3,33,5,1,1
3,23,5,1,1
4,5,5,1,1
4,29,5,4,1
4,16,3,4,3
4,15,5,4,1
4,1,3,3,3
4,14,5,3,2
4,9,4,5,3
4,16,3,3,3
5,32,2,3,4
5,27,4,4,2
5,21,5,1,1
5,3,4,6,3
5,25,4,6,3
5,10,4,3,1
5,26,2,2,3
5,29,5,4,4
6,16,5,5,1
6,14,3,2,3
6,19,5,1,1
6,22,3,1,4
6,33,2,4,1
6,15,5,5,2
6,9,4,6,4
6,4,5,2,1
7,24,5,5,3
7,27,5,6,2
7,28,5,5,1
7,33,4,5,4
7,19,5,1,1
7,3,4,5,3
7,14,5,5,1
7,9,3,5,4
8,25,5,4,3
8,31,3,4,4
8,16,4,5,4
8,27,5,1,2
8,19,3,3,4
8,11,4,4,1
8,27,4,1,3
8,4,5,3,2
9,15,5,4,2
9,32,5,4,2
9,16,2,1,4
9,14,5,3,3
9,25,5,2,2
9,18,3,6,2
9,29,4,2,2
9,1,4,3,4
10,1,3,3,2
10,24,4,3,1
10,5,5,5,1
10,2,4,2,4
10,8,5,2,4
10,3,4,3,3
10,14,4,6,4
10,20,4,2,3
11,10,5,2,2
11,12,4,3,3
11,28,4,6,1
11,26,2,3,2
11,19,4,3,4
11,21,4,3,2
11,16,4,3,1
11,30,5,6,4
12,15,4,6,2
12,5,5,3,3
12,21,5,3,1
12,30,2,5,4
12,9,4,4,2
12,27,5,6,4
12,33,4,3,4
12,32,5,5,2
13,21,4,3,4
13,26,2,3,2
13,5,5,1,4
13,11,3,5,4
13,24,5,1,4
13,9,4,6,1
13,27,2,2,4
13,14,3,2,2
14,14,4,3,3
14,5,5,1,2
14,27,5,6,4
14,19,5,2,1
14,16,3,1,3
14,1,5,5,1
14,25,5,2,4
14,27,5,4,3
15,11,5,2,3
15,12,5,2,3
15,3,5,4,1
15,4,5,2,1
15,11,4,1,3
15,32,4,6,4
15,16,4,5,3
15,24,4,6,2
16,27,5,6,1
16,14,4,4,1
16,6,5,6,2
16,23,5,1,4
16,18,4,5,4
16,24,4,1,4
16,4,4,5,1
16,30,4,4,3
17,2,2,6,2
17,27,2,3,1
17,31,5,2,1
17,1,5,4,1
17,5,4,6,2
17,6,4,6,4
17,11,4,6,1
17,27,5,6,4
18,12,3,6,4
18,3,2,4,4
18,14,4,2,2
18,24,3,6,3
18,7,4,2,2
18,31,3,5,2
18,5,5,2,4
18,20,5,4,4
19,33,3,3,2
19,7,5,2,4
19,16,4,3,2
19,9,4,6,3
19,20,4,3,4
19,19,2,4,3
19,15,3,3,1
19,9,4,1,3
20,33,5,2,4
20,23,4,2,1
20,9,4,2,2
20,31,3,3,2
20,10,4,3,2
20,4,3,1,4
20,9,4,4,3
20,20,5,3,1
21,33,4,5,4
21,9,4,1,2
21,12,4,3,2
21,11,5,2,1
21,31,5,1,1
21,5,4,6,2
21,10,4,3,1
21,13,3,4,2
22,17,5,5,4
22,5,5,3,2
22,25,5,1,2
22,32,5,3,1
22,9,5,3,2
22,2,5,2,3
22,6,5,4,1
22,4,4,3,2
23,6,5,2,2
23,1,2,6,2
23,18,5,5,1
23,1,5,2,3
23,13,4,1,3
23,18,5,4,4
23,2,5,1,1
23,1,3,3,3
24,6,4,6,2
24,23,3,6,1
24,1,4,3,1
24,22,5,2,2
24,27,5,1,3
24,18,5,4,1
24,8,4,5,3
24,2,5,4,2
25,1,4,1,2
25,32,2,4,4
25,31,5,4,1
25,5,5,5,3
25,10,4,3,4
25,30,2,5,3
25,24,4,5,3
25,16,5,3,1
26,29,5,4,1
26,13,3,1,4
26,19,3,3,4
26,21,5,1,3
26,27,5,1,4
26,22,5,4,4
26,6,5,1,2
26,1,4,3,1
27,2,2,6,1
27,25,4,2,4
27,29,5,4,3
27,10,5,2,2
27,6,5,4,4
27,29,4,6,2
27,23,4,6,3
27,13,3,4,2
28,31,4,6,4
28,23,5,2,2
28,8,5,4,1
28,3,2,1,4
28,22,5,4,2
28,25,5,4,3
28,29,4,5,2
28,9,4,1,4
29,31,4,2,3
29,15,3,3,3
29,1,4,3,3
29,5,5,2,1
29,31,4,5,3
29,14,5,3,3
29,1,5,2,3
29,18,3,3,1
30,19,4,3,3
30,20,5,4,3
30,32,5,5,1
30,9,4,6,4
30,17,5,2,4
30,33,4,2,1
30,25,5,1,4
30,3,3,6,3
